date,vehicle_type,manufacturer,registrations
2020-06-16,4W,Kia,1039
2020-06-16,4W,Toyota,1185
2020-06-16,4W,Honda,947
2020-06-16,4W,MG,1700
2020-06-16,4W,Skoda,484
2020-06-16,4W,Volkswagen,1442
2020-06-17,2W,Hero,4093
2020-06-17,2W,Honda,4252
2020-06-17,2W,TVS,6259
2020-06-17,2W,Bajaj,6644
2020-06-17,2W,Royal Enfield,2788
2020-06-17,2W,Yamaha,5627
2020-06-17,2W,Suzuki,2803
2020-06-17,2W,Ola Electric,5902
2020-06-17,2W,Ather,4038
2020-06-17,3W,Bajaj,379
2020-06-17,3W,Piaggio,505
2020-06-17,3W,Mahindra,600
2020-06-17,3W,TVS,589
2020-06-17,3W,Atul,444
2020-06-17,3W,Kinetic,721
2020-06-17,4W,Maruti Suzuki,1195
2020-06-17,4W,Hyundai,663
2020-06-17,4W,Tata Motors,1314
2020-06-17,4W,Mahindra,1617
2020-06-17,4W,Kia,1093
2020-06-17,4W,Toyota,1345
2020-06-17,4W,Honda,1400
2020-06-17,4W,MG,1747
2020-06-17,4W,Skoda,1256
2020-06-17,4W,Volkswagen,1136
2020-06-18,2W,Hero,5151
2020-06-18,2W,Honda,5184
2020-06-18,2W,TVS,4613
2020-06-18,2W,Bajaj,7173
2020-06-18,2W,Royal Enfield,3209
2020-06-18,2W,Yamaha,8464
2020-06-18,2W,Suzuki,8514
2020-06-18,2W,Ola Electric,5590
2020-06-18,2W,Ather,9188
2020-06-18,3W,Bajaj,524
2020-06-18,3W,Piaggio,690
2020-06-18,3W,Mahindra,388
2020-06-18,3W,TVS,606
2020-06-18,3W,Atul,427
2020-06-18,3W,Kinetic,453
2020-06-18,4W,Maruti Suzuki,861
2020-06-18,4W,Hyundai,871
2020-06-18,4W,Tata Motors,1231
2020-06-18,4W,Mahindra,694
2020-06-18,4W,Kia,530
2020-06-18,4W,Toyota,948
2020-06-18,4W,Honda,1181
2020-06-18,4W,MG,776
2020-06-18,4W,Skoda,596
2020-06-18,4W,Volkswagen,1654
2020-06-19,2W,Hero,4704
2020-06-19,2W,Honda,3539
2020-06-19,2W,TVS,4609
2020-06-19,2W,Bajaj,4823
2020-06-19,2W,Royal Enfield,4854
2020-06-19,2W,Yamaha,7480
2020-06-19,2W,Suzuki,4430
2020-06-19,2W,Ola Electric,4122
2020-06-19,2W,Ather,4007
2020-06-19,3W,Bajaj,477
2020-06-19,3W,Piaggio,330
2020-06-19,3W,Mahindra,681
2020-06-19,3W,TVS,813
2020-06-19,3W,Atul,760
2020-06-19,3W,Kinetic,561
2020-06-19,4W,Maruti Suzuki,1251
2020-06-19,4W,Hyundai,1573
2020-06-19,4W,Tata Motors,861
2020-06-19,4W,Mahindra,729
2020-06-19,4W,Kia,1236
2020-06-19,4W,Toyota,1359
2020-06-19,4W,Honda,1094
2020-06-19,4W,MG,1794
2020-06-19,4W,Skoda,1357
2020-06-19,4W,Volkswagen,1514
2020-06-20,2W,Hero,4983
2020-06-20,2W,Honda,2339
2020-06-20,2W,TVS,1973
2020-06-20,2W,Bajaj,1437
2020-06-20,2W,Royal Enfield,3535
2020-06-20,2W,Yamaha,4285
2020-06-20,2W,Suzuki,2506
2020-06-20,2W,Ola Electric,3628
2020-06-20,2W,Ather,1942
2020-06-20,3W,Bajaj,416
2020-06-20,3W,Piaggio,339
2020-06-20,3W,Mahindra,438
2020-06-20,3W,TVS,364
2020-06-20,3W,Atul,197
2020-06-20,3W,Kinetic,152
2020-06-20,4W,Maruti Suzuki,654
2020-06-20,4W,Hyundai,564
2020-06-20,4W,Tata Motors,1000
2020-06-20,4W,Mahindra,409
2020-06-20,4W,Kia,440
2020-06-20,4W,Toyota,376
2020-06-20,4W,Honda,960
2020-06-20,4W,MG,621
2020-06-20,4W,Skoda,970
2020-06-20,4W,Volkswagen,633
2020-06-21,2W,Hero,2302
2020-06-21,2W,Honda,2068
2020-06-21,2W,TVS,2845
2020-06-21,2W,Bajaj,3742
2020-06-21,2W,Royal Enfield,3157
2020-06-21,2W,Yamaha,5118
2020-06-21,2W,Suzuki,4458
2020-06-21,2W,Ola Electric,4425
2020-06-21,2W,Ather,3000
2020-06-21,3W,Bajaj,335
2020-06-21,3W,Piaggio,214
2020-06-21,3W,Mahindra,352
2020-06-21,3W,TVS,358
2020-06-21,3W,Atul,410
2020-06-21,3W,Kinetic,281
2020-06-21,4W,Maruti Suzuki,456
2020-06-21,4W,Hyundai,528
2020-06-21,4W,Tata Motors,563
2020-06-21,4W,Mahindra,544
2020-06-21,4W,Kia,927
2020-06-21,4W,Toyota,832
2020-06-21,4W,Honda,719
2020-06-21,4W,MG,378
2020-06-21,4W,Skoda,342
2020-06-21,4W,Volkswagen,638
2020-06-22,2W,Hero,8108
2020-06-22,2W,Honda,5654
2020-06-22,2W,TVS,6008
2020-06-22,2W,Bajaj,7968
2020-06-22,2W,Royal Enfield,3151
2020-06-22,2W,Yamaha,6670
2020-06-22,2W,Suzuki,4441
2020-06-22,2W,Ola Electric,6033
2020-06-22,2W,Ather,3723
2020-06-22,3W,Bajaj,347
2020-06-22,3W,Piaggio,542
2020-06-22,3W,Mahindra,705
2020-06-22,3W,TVS,285
2020-06-22,3W,Atul,667
2020-06-22,3W,Kinetic,605
2020-06-22,4W,Maruti Suzuki,1144
2020-06-22,4W,Hyundai,871
2020-06-22,4W,Tata Motors,1793
2020-06-22,4W,Mahindra,1018
2020-06-22,4W,Kia,1394
2020-06-22,4W,Toyota,597
2020-06-22,4W,Honda,1548
2020-06-22,4W,MG,1161
2020-06-22,4W,Skoda,556
2020-06-22,4W,Volkswagen,1555
2020-06-23,2W,Hero,8416
2020-06-23,2W,Honda,5492
2020-06-23,2W,TVS,4032
2020-06-23,2W,Bajaj,4655
2020-06-23,2W,Royal Enfield,6771
2020-06-23,2W,Yamaha,4774
2020-06-23,2W,Suzuki,2361
2020-06-23,2W,Ola Electric,2676
2020-06-23,2W,Ather,3956
2020-06-23,3W,Bajaj,711
2020-06-23,3W,Piaggio,703
2020-06-23,3W,Mahindra,498
2020-06-23,3W,TVS,845
2020-06-23,3W,Atul,416
2020-06-23,3W,Kinetic,537
2020-06-23,4W,Maruti Suzuki,777
2020-06-23,4W,Hyundai,1542
2020-06-23,4W,Tata Motors,1340
2020-06-23,4W,Mahindra,1573
2020-06-23,4W,Kia,824
2020-06-23,4W,Toyota,973
2020-06-23,4W,Honda,501
2020-06-23,4W,MG,487
2020-06-23,4W,Skoda,1122
2020-06-23,4W,Volkswagen,943
2020-06-24,2W,Hero,6146
2020-06-24,2W,Honda,7401
2020-06-24,2W,TVS,7463
2020-06-24,2W,Bajaj,4078
2020-06-24,2W,Royal Enfield,6017
2020-06-24,2W,Yamaha,3792
2020-06-24,2W,Suzuki,4280
2020-06-24,2W,Ola Electric,6635
2020-06-24,2W,Ather,4550
2020-06-24,3W,Bajaj,493
2020-06-24,3W,Piaggio,459
2020-06-24,3W,Mahindra,272
2020-06-24,3W,TVS,823
2020-06-24,3W,Atul,443
2020-06-24,3W,Kinetic,627
2020-06-24,4W,Maruti Suzuki,721
2020-06-24,4W,Hyundai,784
2020-06-24,4W,Tata Motors,1188
2020-06-24,4W,Mahindra,954
2020-06-24,4W,Kia,863
2020-06-24,4W,Toyota,1260
2020-06-24,4W,Honda,921
2020-06-24,4W,MG,603
2020-06-24,4W,Skoda,673
2020-06-24,4W,Volkswagen,1118
2020-06-25,2W,Hero,4819
2020-06-25,2W,Honda,3587
2020-06-25,2W,TVS,6513
2020-06-25,2W,Bajaj,6649
2020-06-25,2W,Royal Enfield,3783
2020-06-25,2W,Yamaha,5579
2020-06-25,2W,Suzuki,7080
2020-06-25,2W,Ola Electric,4544
2020-06-25,2W,Ather,2909
2020-06-25,3W,Bajaj,707
2020-06-25,3W,Piaggio,698
2020-06-25,3W,Mahindra,596
2020-06-25,3W,TVS,459
2020-06-25,3W,Atul,593
2020-06-25,3W,Kinetic,641
2020-06-25,4W,Maruti Suzuki,1543
2020-06-25,4W,Hyundai,1233
2020-06-25,4W,Tata Motors,1304
2020-06-25,4W,Mahindra,1092
2020-06-25,4W,Kia,1447
2020-06-25,4W,Toyota,715
2020-06-25,4W,Honda,993
2020-06-25,4W,MG,640
2020-06-25,4W,Skoda,1051
2020-06-25,4W,Volkswagen,1211
2020-06-26,2W,Hero,6830
2020-06-26,2W,Honda,5511
2020-06-26,2W,TVS,2917
2020-06-26,2W,Bajaj,6552
2020-06-26,2W,Royal Enfield,3021
2020-06-26,2W,Yamaha,4206
2020-06-26,2W,Suzuki,5902
2020-06-26,2W,Ola Electric,5911
2020-06-26,2W,Ather,7193
2020-06-26,3W,Bajaj,429
2020-06-26,3W,Piaggio,712
2020-06-26,3W,Mahindra,341
2020-06-26,3W,TVS,296
2020-06-26,3W,Atul,436
2020-06-26,3W,Kinetic,371
2020-06-26,4W,Maruti Suzuki,557
2020-06-26,4W,Hyundai,1265
2020-06-26,4W,Tata Motors,851
2020-06-26,4W,Mahindra,552
2020-06-26,4W,Kia,541
2020-06-26,4W,Toyota,1712
2020-06-26,4W,Honda,1179
2020-06-26,4W,MG,647
2020-06-26,4W,Skoda,679
2020-06-26,4W,Volkswagen,1030
2020-06-27,2W,Hero,2828
2020-06-27,2W,Honda,2879
2020-06-27,2W,TVS,4733
2020-06-27,2W,Bajaj,3793
2020-06-27,2W,Royal Enfield,3469
2020-06-27,2W,Yamaha,3948
2020-06-27,2W,Suzuki,2031
2020-06-27,2W,Ola Electric,1880
2020-06-27,2W,Ather,2076
2020-06-27,3W,Bajaj,316
2020-06-27,3W,Piaggio,317
2020-06-27,3W,Mahindra,299
2020-06-27,3W,TVS,382
2020-06-27,3W,Atul,269
2020-06-27,3W,Kinetic,414
2020-06-27,4W,Maruti Suzuki,558
2020-06-27,4W,Hyundai,466
2020-06-27,4W,Tata Motors,768
2020-06-27,4W,Mahindra,514
2020-06-27,4W,Kia,389
2020-06-27,4W,Toyota,811
2020-06-27,4W,Honda,373
2020-06-27,4W,MG,511
2020-06-27,4W,Skoda,725
2020-06-27,4W,Volkswagen,418
2020-06-28,2W,Hero,1658
2020-06-28,2W,Honda,1731
2020-06-28,2W,TVS,2396
2020-06-28,2W,Bajaj,4247
2020-06-28,2W,Royal Enfield,1856
2020-06-28,2W,Yamaha,2152
2020-06-28,2W,Suzuki,1969
2020-06-28,2W,Ola Electric,3931
2020-06-28,2W,Ather,1880
2020-06-28,3W,Bajaj,276
2020-06-28,3W,Piaggio,337
2020-06-28,3W,Mahindra,342
2020-06-28,3W,TVS,484
2020-06-28,3W,Atul,512
2020-06-28,3W,Kinetic,157
2020-06-28,4W,Maruti Suzuki,460
2020-06-28,4W,Hyundai,712
2020-06-28,4W,Tata Motors,635
2020-06-28,4W,Mahindra,845
2020-06-28,4W,Kia,547
2020-06-28,4W,Toyota,394
2020-06-28,4W,Honda,718
2020-06-28,4W,MG,1059
2020-06-28,4W,Skoda,978
2020-06-28,4W,Volkswagen,685
2020-06-29,2W,Hero,3085
2020-06-29,2W,Honda,4919
2020-06-29,2W,TVS,6562
2020-06-29,2W,Bajaj,3836
2020-06-29,2W,Royal Enfield,6322
2020-06-29,2W,Yamaha,4538
2020-06-29,2W,Suzuki,4345
2020-06-29,2W,Ola Electric,3373
2020-06-29,2W,Ather,3053
2020-06-29,3W,Bajaj,432
2020-06-29,3W,Piaggio,517
2020-06-29,3W,Mahindra,557
2020-06-29,3W,TVS,429
2020-06-29,3W,Atul,437
2020-06-29,3W,Kinetic,557
2020-06-29,4W,Maruti Suzuki,1009
2020-06-29,4W,Hyundai,937
2020-06-29,4W,Tata Motors,1675
2020-06-29,4W,Mahindra,542
2020-06-29,4W,Kia,1107
2020-06-29,4W,Toyota,1121
2020-06-29,4W,Honda,1123
2020-06-29,4W,MG,1402
2020-06-29,4W,Skoda,582
2020-06-29,4W,Volkswagen,1286
2020-06-30,2W,Hero,4669
2020-06-30,2W,Honda,6321
2020-06-30,2W,TVS,2940
2020-06-30,2W,Bajaj,2939
2020-06-30,2W,Royal Enfield,3149
2020-06-30,2W,Yamaha,3039
2020-06-30,2W,Suzuki,2452
2020-06-30,2W,Ola Electric,8041
2020-06-30,2W,Ather,5885
2020-06-30,3W,Bajaj,378
2020-06-30,3W,Piaggio,437
2020-06-30,3W,Mahindra,649
2020-06-30,3W,TVS,408
2020-06-30,3W,Atul,625
2020-06-30,3W,Kinetic,372
2020-06-30,4W,Maruti Suzuki,1697
2020-06-30,4W,Hyundai,825
2020-06-30,4W,Tata Motors,767
2020-06-30,4W,Mahindra,805
2020-06-30,4W,Kia,849
2020-06-30,4W,Toyota,1487
2020-06-30,4W,Honda,864
2020-06-30,4W,MG,1435
2020-06-30,4W,Skoda,587
2020-06-30,4W,Volkswagen,1046
2020-07-01,2W,Hero,4211
2020-07-01,2W,Honda,5262
2020-07-01,2W,TVS,3318
2020-07-01,2W,Bajaj,7497
2020-07-01,2W,Royal Enfield,3142
2020-07-01,2W,Yamaha,5558
2020-07-01,2W,Suzuki,2673
2020-07-01,2W,Ola Electric,5796
2020-07-01,2W,Ather,5858
2020-07-01,3W,Bajaj,454
2020-07-01,3W,Piaggio,341
2020-07-01,3W,Mahindra,278
2020-07-01,3W,TVS,488
2020-07-01,3W,Atul,739
2020-07-01,3W,Kinetic,335
2020-07-01,4W,Maruti Suzuki,923
2020-07-01,4W,Hyundai,1370
2020-07-01,4W,Tata Motors,647
2020-07-01,4W,Mahindra,731
2020-07-01,4W,Kia,982
2020-07-01,4W,Toyota,1378
2020-07-01,4W,Honda,1299
2020-07-01,4W,MG,1640
2020-07-01,4W,Skoda,920
2020-07-01,4W,Volkswagen,883
2020-07-02,2W,Hero,4765
2020-07-02,2W,Honda,14687
2020-07-02,2W,TVS,3463
2020-07-02,2W,Bajaj,5095
2020-07-02,2W,Royal Enfield,4728
2020-07-02,2W,Yamaha,2712
2020-07-02,2W,Suzuki,5570
2020-07-02,2W,Ola Electric,6297
2020-07-02,2W,Ather,5656
2020-07-02,3W,Bajaj,626
2020-07-02,3W,Piaggio,338
2020-07-02,3W,Mahindra,274
2020-07-02,3W,TVS,585
2020-07-02,3W,Atul,489
2020-07-02,3W,Kinetic,526
2020-07-02,4W,Maruti Suzuki,744
2020-07-02,4W,Hyundai,1181
2020-07-02,4W,Tata Motors,1104
2020-07-02,4W,Mahindra,773
2020-07-02,4W,Kia,670
2020-07-02,4W,Toyota,1304
2020-07-02,4W,Honda,1085
2020-07-02,4W,MG,754
2020-07-02,4W,Skoda,1340
2020-07-02,4W,Volkswagen,496
2020-07-03,2W,Hero,7381
2020-07-03,2W,Honda,4178
2020-07-03,2W,TVS,4906
2020-07-03,2W,Bajaj,6823
2020-07-03,2W,Royal Enfield,3713
2020-07-03,2W,Yamaha,6112
2020-07-03,2W,Suzuki,5816
2020-07-03,2W,Ola Electric,4632
2020-07-03,2W,Ather,6468
2020-07-03,3W,Bajaj,585
2020-07-03,3W,Piaggio,277
2020-07-03,3W,Mahindra,389
2020-07-03,3W,TVS,586
2020-07-03,3W,Atul,564
2020-07-03,3W,Kinetic,504
2020-07-03,4W,Maruti Suzuki,832
2020-07-03,4W,Hyundai,1458
2020-07-03,4W,Tata Motors,519
2020-07-03,4W,Mahindra,991
2020-07-03,4W,Kia,1642
2020-07-03,4W,Toyota,927
2020-07-03,4W,Honda,1446
2020-07-03,4W,MG,1263
2020-07-03,4W,Skoda,1029
2020-07-03,4W,Volkswagen,1546
2020-07-04,2W,Hero,4543
2020-07-04,2W,Honda,4213
2020-07-04,2W,TVS,3788
2020-07-04,2W,Bajaj,2337
2020-07-04,2W,Royal Enfield,1824
2020-07-04,2W,Yamaha,3217
2020-07-04,2W,Suzuki,2481
2020-07-04,2W,Ola Electric,2353
2020-07-04,2W,Ather,3975
2020-07-04,3W,Bajaj,450
2020-07-04,3W,Piaggio,180
2020-07-04,3W,Mahindra,149
2020-07-04,3W,TVS,302
2020-07-04,3W,Atul,237
2020-07-04,3W,Kinetic,332
2020-07-04,4W,Maruti Suzuki,371
2020-07-04,4W,Hyundai,668
2020-07-04,4W,Tata Motors,441
2020-07-04,4W,Mahindra,682
2020-07-04,4W,Kia,396
2020-07-04,4W,Toyota,325
2020-07-04,4W,Honda,536
2020-07-04,4W,MG,744
2020-07-04,4W,Skoda,823
2020-07-04,4W,Volkswagen,632
2020-07-05,2W,Hero,3359
2020-07-05,2W,Honda,1407
2020-07-05,2W,TVS,2770
2020-07-05,2W,Bajaj,4171
2020-07-05,2W,Royal Enfield,2380
2020-07-05,2W,Yamaha,3271
2020-07-05,2W,Suzuki,2777
2020-07-05,2W,Ola Electric,3860
2020-07-05,2W,Ather,2217
2020-07-05,3W,Bajaj,314
2020-07-05,3W,Piaggio,241
2020-07-05,3W,Mahindra,306
2020-07-05,3W,TVS,326
2020-07-05,3W,Atul,369
2020-07-05,3W,Kinetic,371
2020-07-05,4W,Maruti Suzuki,944
2020-07-05,4W,Hyundai,350
2020-07-05,4W,Tata Motors,803
2020-07-05,4W,Mahindra,566
2020-07-05,4W,Kia,347
2020-07-05,4W,Toyota,460
2020-07-05,4W,Honda,519
2020-07-05,4W,MG,981
2020-07-05,4W,Skoda,575
2020-07-05,4W,Volkswagen,607
2020-07-06,2W,Hero,5397
2020-07-06,2W,Honda,2093
2020-07-06,2W,TVS,3815
2020-07-06,2W,Bajaj,3365
2020-07-06,2W,Royal Enfield,2924
2020-07-06,2W,Yamaha,5632
2020-07-06,2W,Suzuki,3102
2020-07-06,2W,Ola Electric,3030
2020-07-06,2W,Ather,6399
2020-07-06,3W,Bajaj,607
2020-07-06,3W,Piaggio,765
2020-07-06,3W,Mahindra,532
2020-07-06,3W,TVS,464
2020-07-06,3W,Atul,697
2020-07-06,3W,Kinetic,461
2020-07-06,4W,Maruti Suzuki,1485
2020-07-06,4W,Hyundai,761
2020-07-06,4W,Tata Motors,474
2020-07-06,4W,Mahindra,655
2020-07-06,4W,Kia,725
2020-07-06,4W,Toyota,1532
2020-07-06,4W,Honda,867
2020-07-06,4W,MG,1077
2020-07-06,4W,Skoda,1405
2020-07-06,4W,Volkswagen,1049
2020-07-07,2W,Hero,4525
2020-07-07,2W,Honda,6379
2020-07-07,2W,TVS,3541
2020-07-07,2W,Bajaj,3130
2020-07-07,2W,Royal Enfield,3373
2020-07-07,2W,Yamaha,4453
2020-07-07,2W,Suzuki,2820
2020-07-07,2W,Ola Electric,5252
2020-07-07,2W,Ather,5484
2020-07-07,3W,Bajaj,498
2020-07-07,3W,Piaggio,718
2020-07-07,3W,Mahindra,763
2020-07-07,3W,TVS,469
2020-07-07,3W,Atul,448
2020-07-07,3W,Kinetic,191
2020-07-07,4W,Maruti Suzuki,1219
2020-07-07,4W,Hyundai,658
2020-07-07,4W,Tata Motors,818
2020-07-07,4W,Mahindra,1530
2020-07-07,4W,Kia,779
2020-07-07,4W,Toyota,585
2020-07-07,4W,Honda,900
2020-07-07,4W,MG,1498
2020-07-07,4W,Skoda,672
2020-07-07,4W,Volkswagen,561
2020-07-08,2W,Hero,3789
2020-07-08,2W,Honda,7110
2020-07-08,2W,TVS,2969
2020-07-08,2W,Bajaj,5223
2020-07-08,2W,Royal Enfield,4858
2020-07-08,2W,Yamaha,7573
2020-07-08,2W,Suzuki,6222
2020-07-08,2W,Ola Electric,2783
2020-07-08,2W,Ather,3039
2020-07-08,3W,Bajaj,797
2020-07-08,3W,Piaggio,815
2020-07-08,3W,Mahindra,340
2020-07-08,3W,TVS,639
2020-07-08,3W,Atul,386
2020-07-08,3W,Kinetic,258
2020-07-08,4W,Maruti Suzuki,1125
2020-07-08,4W,Hyundai,449
2020-07-08,4W,Tata Motors,1080
2020-07-08,4W,Mahindra,831
2020-07-08,4W,Kia,1006
2020-07-08,4W,Toyota,782
2020-07-08,4W,Honda,1211
2020-07-08,4W,MG,1218
2020-07-08,4W,Skoda,537
2020-07-08,4W,Volkswagen,522
2020-07-09,2W,Hero,4950
2020-07-09,2W,Honda,6771
2020-07-09,2W,TVS,2643
2020-07-09,2W,Bajaj,5343
2020-07-09,2W,Royal Enfield,5555
2020-07-09,2W,Yamaha,3547
2020-07-09,2W,Suzuki,3986
2020-07-09,2W,Ola Electric,4952
2020-07-09,2W,Ather,2436
2020-07-09,3W,Bajaj,677
2020-07-09,3W,Piaggio,667
2020-07-09,3W,Mahindra,534
2020-07-09,3W,TVS,411
2020-07-09,3W,Atul,470
2020-07-09,3W,Kinetic,375
2020-07-09,4W,Maruti Suzuki,642
2020-07-09,4W,Hyundai,474
2020-07-09,4W,Tata Motors,709
2020-07-09,4W,Mahindra,1498
2020-07-09,4W,Kia,959
2020-07-09,4W,Toyota,808
2020-07-09,4W,Honda,943
2020-07-09,4W,MG,1077
2020-07-09,4W,Skoda,969
2020-07-09,4W,Volkswagen,945
2020-07-10,2W,Hero,5460
2020-07-10,2W,Honda,4227
2020-07-10,2W,TVS,5330
2020-07-10,2W,Bajaj,3855
2020-07-10,2W,Royal Enfield,5656
2020-07-10,2W,Yamaha,2318
2020-07-10,2W,Suzuki,4406
2020-07-10,2W,Ola Electric,5650
2020-07-10,2W,Ather,5346
2020-07-10,3W,Bajaj,761
2020-07-10,3W,Piaggio,274
2020-07-10,3W,Mahindra,421
2020-07-10,3W,TVS,486
2020-07-10,3W,Atul,734
2020-07-10,3W,Kinetic,602
2020-07-10,4W,Maruti Suzuki,1135
2020-07-10,4W,Hyundai,519
2020-07-10,4W,Tata Motors,1058
2020-07-10,4W,Mahindra,1097
2020-07-10,4W,Kia,948
2020-07-10,4W,Toyota,1151
2020-07-10,4W,Honda,1216
2020-07-10,4W,MG,747
2020-07-10,4W,Skoda,535
2020-07-10,4W,Volkswagen,600
2020-07-11,2W,Hero,4118
2020-07-11,2W,Honda,3134
2020-07-11,2W,TVS,2341
2020-07-11,2W,Bajaj,2212
2020-07-11,2W,Royal Enfield,2366
2020-07-11,2W,Yamaha,1390
2020-07-11,2W,Suzuki,2923
2020-07-11,2W,Ola Electric,4445
2020-07-11,2W,Ather,2455
2020-07-11,3W,Bajaj,147
2020-07-11,3W,Piaggio,364
2020-07-11,3W,Mahindra,391
2020-07-11,3W,TVS,271
2020-07-11,3W,Atul,272
2020-07-11,3W,Kinetic,177
2020-07-11,4W,Maruti Suzuki,607
2020-07-11,4W,Hyundai,596
2020-07-11,4W,Tata Motors,506
2020-07-11,4W,Mahindra,505
2020-07-11,4W,Kia,333
2020-07-11,4W,Toyota,483
2020-07-11,4W,Honda,763
2020-07-11,4W,MG,463
2020-07-11,4W,Skoda,293
2020-07-11,4W,Volkswagen,384
2020-07-12,2W,Hero,1681
2020-07-12,2W,Honda,1959
2020-07-12,2W,TVS,4240
2020-07-12,2W,Bajaj,4011
2020-07-12,2W,Royal Enfield,3229
2020-07-12,2W,Yamaha,3580
2020-07-12,2W,Suzuki,3026
2020-07-12,2W,Ola Electric,4672
2020-07-12,2W,Ather,2021
2020-07-12,3W,Bajaj,238
2020-07-12,3W,Piaggio,159
2020-07-12,3W,Mahindra,204
2020-07-12,3W,TVS,152
2020-07-12,3W,Atul,396
2020-07-12,3W,Kinetic,399
2020-07-12,4W,Maruti Suzuki,360
2020-07-12,4W,Hyundai,830
2020-07-12,4W,Tata Motors,570
2020-07-12,4W,Mahindra,691
2020-07-12,4W,Kia,648
2020-07-12,4W,Toyota,820
2020-07-12,4W,Honda,270
2020-07-12,4W,MG,769
2020-07-12,4W,Skoda,802
2020-07-12,4W,Volkswagen,755
2020-07-13,2W,Hero,6053
2020-07-13,2W,Honda,5872
2020-07-13,2W,TVS,5843
2020-07-13,2W,Bajaj,4885
2020-07-13,2W,Royal Enfield,3243
2020-07-13,2W,Yamaha,6330
2020-07-13,2W,Suzuki,4852
2020-07-13,2W,Ola Electric,4627
2020-07-13,2W,Ather,1883
2020-07-13,3W,Bajaj,241
2020-07-13,3W,Piaggio,586
2020-07-13,3W,Mahindra,413
2020-07-13,3W,TVS,336
2020-07-13,3W,Atul,337
2020-07-13,3W,Kinetic,488
2020-07-13,4W,Maruti Suzuki,546
2020-07-13,4W,Hyundai,1445
2020-07-13,4W,Tata Motors,1020
2020-07-13,4W,Mahindra,434
2020-07-13,4W,Kia,1337
2020-07-13,4W,Toyota,590
2020-07-13,4W,Honda,1118
2020-07-13,4W,MG,967
2020-07-13,4W,Skoda,1373
2020-07-13,4W,Volkswagen,1032
2020-07-14,2W,Hero,3607
2020-07-14,2W,Honda,3946
2020-07-14,2W,TVS,5575
2020-07-14,2W,Bajaj,3101
2020-07-14,2W,Royal Enfield,2776
2020-07-14,2W,Yamaha,6217
2020-07-14,2W,Suzuki,3834
2020-07-14,2W,Ola Electric,6388
2020-07-14,2W,Ather,5254
2020-07-14,3W,Bajaj,308
2020-07-14,3W,Piaggio,689
2020-07-14,3W,Mahindra,230
2020-07-14,3W,TVS,300
2020-07-14,3W,Atul,374
2020-07-14,3W,Kinetic,353
2020-07-14,4W,Maruti Suzuki,705
2020-07-14,4W,Hyundai,452
2020-07-14,4W,Tata Motors,937
2020-07-14,4W,Mahindra,1284
2020-07-14,4W,Kia,911
2020-07-14,4W,Toyota,674
2020-07-14,4W,Honda,380
2020-07-14,4W,MG,959
2020-07-14,4W,Skoda,992
2020-07-14,4W,Volkswagen,626
2020-07-15,2W,Hero,4549
2020-07-15,2W,Honda,3003
2020-07-15,2W,TVS,5583
2020-07-15,2W,Bajaj,2389
2020-07-15,2W,Royal Enfield,3845
2020-07-15,2W,Yamaha,4465
2020-07-15,2W,Suzuki,4470
2020-07-15,2W,Ola Electric,4053
2020-07-15,2W,Ather,6828
2020-07-15,3W,Bajaj,675
2020-07-15,3W,Piaggio,387
2020-07-15,3W,Mahindra,538
2020-07-15,3W,TVS,615
2020-07-15,3W,Atul,443
2020-07-15,3W,Kinetic,648
2020-07-15,4W,Maruti Suzuki,460
2020-07-15,4W,Hyundai,744
2020-07-15,4W,Tata Motors,582
2020-07-15,4W,Mahindra,1043
2020-07-15,4W,Kia,1238
2020-07-15,4W,Toyota,801
2020-07-15,4W,Honda,894
2020-07-15,4W,MG,726
2020-07-15,4W,Skoda,1178
2020-07-15,4W,Volkswagen,1011
2020-07-16,2W,Hero,4092
2020-07-16,2W,Honda,4828
2020-07-16,2W,TVS,2626
2020-07-16,2W,Bajaj,2007
2020-07-16,2W,Royal Enfield,4743
2020-07-16,2W,Yamaha,3901
2020-07-16,2W,Suzuki,4278
2020-07-16,2W,Ola Electric,3335
2020-07-16,2W,Ather,4322
2020-07-16,3W,Bajaj,362
2020-07-16,3W,Piaggio,348
2020-07-16,3W,Mahindra,533
2020-07-16,3W,TVS,499
2020-07-16,3W,Atul,342
2020-07-16,3W,Kinetic,310
2020-07-16,4W,Maruti Suzuki,853
2020-07-16,4W,Hyundai,1132
2020-07-16,4W,Tata Motors,828
2020-07-16,4W,Mahindra,1019
2020-07-16,4W,Kia,626
2020-07-16,4W,Toyota,630
2020-07-16,4W,Honda,1215
2020-07-16,4W,MG,1047
2020-07-16,4W,Skoda,916
2020-07-16,4W,Volkswagen,477
2020-07-17,2W,Hero,5408
2020-07-17,2W,Honda,3310
2020-07-17,2W,TVS,4571
2020-07-17,2W,Bajaj,6892
2020-07-17,2W,Royal Enfield,4975
2020-07-17,2W,Yamaha,5399
2020-07-17,2W,Suzuki,3055
2020-07-17,2W,Ola Electric,5675
2020-07-17,2W,Ather,2379
2020-07-17,3W,Bajaj,338
2020-07-17,3W,Piaggio,409
2020-07-17,3W,Mahindra,330
2020-07-17,3W,TVS,526
2020-07-17,3W,Atul,354
2020-07-17,3W,Kinetic,360
2020-07-17,4W,Maruti Suzuki,440
2020-07-17,4W,Hyundai,977
2020-07-17,4W,Tata Motors,442
2020-07-17,4W,Mahindra,625
